#[16, 17, 18, 19, 21, 22, 23, 25, 26, 28, 29, 31, 33, 35, 37, 39, 41, 44, 46, 49, 52, 55, 58, 62, 65, 69, 73, 78, 82, 87, 93, 98, 104, 110, 117, 123, 131, 139, 147, 156, 165, 175, 185, 196, 208, 220, 233, 247, 262, 277, 294, 311, 330, 349, 370, 392, 415, 440, 466, 494, 523, 554, 587, 622, 659, 698, 740, 784, 831, 880, 932, 988, 1047, 1109, 1175, 1245, 1319, 1397, 1480, 1568, 1661, 1760, 1865, 1976, 2093, 2217, 2349, 2489, 2637, 2794, 2960, 3136, 3322, 3520, 3729, 3951, 4186, 4435, 4699, 4978, 5274, 5588, 5920, 6272, 6645, 7040, 7459, 7902]
#######################
# Type Name Hrz/Val Byte
Tone 0C 16.35 0
Tone 0CS 17.32 1
Tone 0D 18.35 2
Tone 0DS 19.45 3
Tone 0E 20.60 4
Tone 0F 21.83 5
Tone 0FS 23.12 6
Tone 0G 24.50 7
Tone 0GS 25.96 8
Tone 0A 27.50 9
Tone 0AS 29.14 10
Tone 0B 30.87 11
Tone 1C 32.70 12
Tone 1CS 34.65 13
Tone 1D 36.71 14
Tone 1DS 38.89 15
Tone 1E 41.20 16
Tone 1F 43.65 17
Tone 1FS 46.25 18
Tone 1G 49.00 19
Tone 1GS 51.91 20
Tone 1A 55.00 21
Tone 1AS 58.27 22
Tone 1B 61.74 23
Tone 2C 65.41 24
Tone 2CS 69.30 25
Tone 2D 73.42 26
Tone 2DS 77.78 27
Tone 2E 82.41 28
Tone 2F 87.31 29
Tone 2FS 92.50 30
Tone 2G 98.00 31
Tone 2GS 103.83 32
Tone 2A 110.00 33
Tone 2AS 116.54 34
Tone 2B 123.47 35
Tone 3C 130.81 36
Tone 3CS 138.59 37
Tone 3D 146.83 38
Tone 3DS 155.56 39
Tone 3E 164.81 40
Tone 3F 174.61 41
Tone 3FS 185.00 42
Tone 3G 196.00 43
Tone 3GS 207.65 44
Tone 3A 220.00 45
Tone 3AS 233.08 46
Tone 3B 246.94 47
Tone 4C 261.63 48
Tone 4CS 277.18 49
Tone 4D 293.66 50
Tone 4DS 311.13 51
Tone 4E 329.63 52
Tone 4F 349.23 53
Tone 4FS 369.99 54
Tone 4G 392.00 55
Tone 4GS 415.30 56
Tone 4A 440.00 57
Tone 4AS 466.16 58
Tone 4B 493.88 59
Tone 5C 523.25 60
Tone 5CS 554.37 61
Tone 5D 587.33 62
Tone 5DS 622.25 63
Tone 5E 659.25 64
Tone 5F 698.46 65
Tone 5FS 739.99 66
Tone 5G 783.99 67
Tone 5GS 830.61 68
Tone 5A 880.00 69
Tone 5AS 932.33 70
Tone 5B 987.77 71
Tone 6C 1046.50 72
Tone 6CS 1108.73 73
Tone 6D 1174.66 74
Tone 6DS 1244.51 75
Tone 6E 1318.51 76
Tone 6F 1396.91 77
Tone 6FS 1479.98 78
Tone 6G 1567.98 79
Tone 6GS 1661.22 80
Tone 6A 1760.00 81
Tone 6AS 1864.66 82
Tone 6B 1975.53 83
Tone 7C 2093.00 84
Tone 7CS 2217.46 85
Tone 7D 2349.32 86
Tone 7DS 2489.02 87
Tone 7E 2637.02 88
Tone 7F 2793.83 89
Tone 7FS 2959.96 90
Tone 7G 3135.96 91
Tone 7GS 3322.44 92
Tone 7A 3520.00 93
Tone 7AS 3729.31 94
Tone 7B 3951.07 95
Tone 8C 4186.01 96
Tone 8CS 4434.92 97
Tone 8D 4698.63 98
Tone 8DS 4978.03 99
Tone 8E 5274.04 100
Tone 8F 5587.65 101
Tone 8FS 5919.91 102
Tone 8G 6271.93 103
Tone 8GS 6644.88 104
Tone 8A 7040.00 105
Tone 8AS 7458.62 106
Tone 8B 7902.13 107
#Blanco
Null 0 0 108
Null 0 0 109
#DRUMS 9SEC;
Drum 9DB b00000001 110 //Drum Bass 
Drum 9DS b00000010 111 //Drum Snare
Drum 9HC b00000100 112 // Hi-Hat Closed, no open
Drum 9CR b00001000 113 //Cymbal Ride
Drum 9CC b00010000 114 //Cymbal Crash
Drum 9TF b00100000 115 //Tom Floor (LOW)
Drum 9TM b01000000 116 //Tom Medium
Drum 9TH b10000000 117 //Tom Hight
